id_starname,ogle_vband
band,vmag
bmag,-99
bmag_err,0
btmag,-99
btmag_err,0
dec,-27.651065999999997
dnu,-99
dnu_err,0
feh,-99
feh_err,0
gmag,-99
gmag_err,0
hmag,-99
hmag_err,0
imag,-99.0
imag_err,-99.0
jmag,-99
jmag_err,0
kmag,-99
kmag_err,0
logg,-99
logg_err,0
numax,1.276
numax_err,0.127
parallax,-99
parallax_err,0
ra,269.69563700000003
rmag,-99
rmag_err,0
teff,-99
teff_err,0
vmag,17.74
vmag_err,0.03
vtmag,-99
vtmag_err,0
zmag,-99
zmag_err,0
iso_age,2.6586351788196847
iso_age_err1,5.41015885133176
iso_age_err2,-1.6776330439172633
iso_avs,0.0
iso_avs_err1,0.0
iso_avs_err2,-0.0
iso_dis,12516.007538716198
iso_dis_err1,4695.322338674419
iso_dis_err2,-2861.330853425912
iso_feh,-0.03105998102105862
iso_feh_err1,0.16115049968043063
iso_feh_err2,-0.17373597061495222
iso_logg,0.953912237891893
iso_logg_err1,0.04345927602610511
iso_logg_err2,-0.04696043723774379
iso_lum,755.4039006797137
iso_lum_err1,435.7577170947633
iso_lum_err2,-222.91428014875783
iso_mass,1.4748257176481958
iso_mass_err1,0.715458396997785
iso_mass_err2,-0.40810402641780197
iso_rad,67.09856732638674
iso_rad_err1,14.89347458218505
iso_rad_err2,-10.017390931327128
iso_rho,4.7676852404676265e-06
iso_rho_err1,1.130600097208153e-06
iso_rho_err2,-1.0302536902325436e-06
iso_teff,3701.7276936146964
iso_teff_err1,114.24492403160957
iso_teff_err2,-102.93761630111203
